date,confirmed,deaths,recovered
2020-05-24,83996,718,28148
2020-05-25,88891,761,29302
2020-05-26,92855,806,30915
2020-05-27,97183,841,33540
2020-05-28,101837,890,36115
2020-05-29,105532,944,38598
2020-05-30,118720,997,40431
2020-05-31,123550,1054,42727
2020-06-01,129020,1113,44946
2020-06-02,132548,1188,86173
2020-06-03,137490,1275,90748
2020-06-04,142154,1356,95631
2020-06-05,146361,1448,99358
2020-06-06,160351,1541,103817
2020-06-07,166756,1637,108150
2020-06-08,171452,2264,112248
2020-06-09,175365,2283,117361
2020-06-10,181062,2475,121780
2020-06-11,186698,2648,126444
2020-06-12,193452,2870,131358
2020-06-13,201634,3101,137296
2020-06-14,208572,3323,143704
2020-06-15,213715,3362,148792
2020-06-16,218728,3383,156232
2020-06-17,220628,3615,181931
2020-06-18,225103,3841,186441
2020-06-19,231393,4093,191491
2020-06-20,236748,4295,196609
2020-06-21,242355,4479,200569
2020-06-22,246963,4502,205397
2020-06-23,250767,4505,210570
2020-06-24,254416,4731,215093
2020-06-25,259064,4903,219327
2020-06-26,263360,5068,223431
2020-06-27,267766,5347,228055
2020-06-28,271982,5509,232210
2020-06-29,275999,5575,236154
2020-06-30,279393,5688,241229
2020-07-01,282043,5753,245443
2020-07-02,284541,5920,249247
2020-07-03,288089,6051,253343
2020-07-04,291847,6192,257451
2020-07-05,295532,6308,261039
2020-07-06,298557,6384,264378
2020-07-07,301019,6434,268251
2020-07-08,303083,6573,271741
2020-07-09,306216,6682,274922
2020-07-10,309274,6781,278053
2020-07-11,312029,6881,281114
2020-07-12,315041,6979,283902
2020-07-13,317657,7024,286556
2020-07-14,319493,7069,289220
2020-07-15,321205,7186,292085
2020-07-16,323698,7290,295301
2020-07-17,326439,8347,296814
2020-07-18,328846,8445,299449
2020-07-19,330930,8503,301794
2020-07-20,333029,8633,303992
2020-07-21,334683,8677,306816
2020-07-22,336402,8722,309241
2020-07-23,338759,8838,311431
2020-07-24,341304,8914,313696
2020-07-25,343592,9020,316169
2020-07-26,345790,9112,318095
2020-07-27,347923,9187,319954
2020-07-28,349800,9240,322332
2020-07-29,351575,9278,324557
2020-07-30,353536,9377,326628
2020-07-31,355667,9457,328327
2020-08-01,357658,9533,330507
2020-08-02,359731,9608,332411
2020-08-03,361493,9707,333976
2020-08-04,362962,9745,336330
2020-08-05,364723,9792,338291
2020-08-06,366671,9889,340168
2020-08-07,368825,9958,342168
2020-08-08,371023,10011,344133
2020-08-09,373056,10077,345826
2020-08-10,375044,10139,347342
2020-08-11,376616,10178,349541
2020-08-12,378168,10205,351419
2020-08-13,380034,10299,353131
2020-08-14,382111,10340,355037
2020-08-15,383902,10395,356951
2020-08-16,385946,10452,358828
2020-08-17,387502,10513,360385
2020-08-18,388855,10546,362440
2020-08-19,390037,10578,364285
2020-08-20,391849,10671,366063
2020-08-21,393769,10723,367897
2020-08-22,395708,10792,369730
2020-08-23,397665,10852,371179
2020-08-24,399568,10916,372464
2020-08-25,400985,10958,374463
2020-08-26,402365,10990,376268
2020-08-27,404102,11072,377922
2020-08-28,405972,11132,379452
2020-08-29,408009,11181,381183
2020-08-30,409974,11244,382584
2020-08-31,411726,11289,383879
2020-09-01,413145,11321,385790
2020-09-02,414739,11344,387683
2020-09-03,416501,11422,389409
2020-09-04,418469,11494,391248
2020-09-05,420434,11551,392967
2020-09-06,422510,11592,394399
2020-09-07,424274,11652,395717
2020-09-08,425541,11682,397730
2020-09-09,427027,11702,399555
2020-09-10,428669,11781,401356
2020-09-11,430535,11850,403064
2020-09-12,432666,11895,404919
2020-09-13,434748,11949,406326
2020-09-14,436433,12013,407725
2020-09-15,437983,12040,409944
2020-09-16,439287,12058,411853
2020-09-17,441150,12142,413928
2020-09-18,442827,12199,415981
2020-09-19,444674,12254,418101
2020-09-20,446274,12286,419746
2020-09-21,447468,12298,421111
2020-09-22,448523,12321,423176
2020-09-23,449903,12345,425165
2020-09-24,451634,12469,426876
2020-09-25,453868,12527,428580
2020-09-26,455979,12591,430259
2020-09-27,457901,12641,431704
2020-09-28,459671,12698,433016
2020-09-29,461300,12725,434794
2020-09-30,462991,12741,436589
2020-10-01,464750,12822,438148
2020-10-02,466590,12867,439607
2020-10-03,468471,12919,440881
2020-10-04,470179,12979,442070
2020-10-05,471746,13037,443453
2020-10-06,473306,13070,445418
2020-10-07,474440,13090,447053
2020-10-08,476016,13167,448710
2020-10-09,477769,13220,450297
2020-10-10,479595,13272,452054
2020-10-11,481371,13318,453352
2020-10-12,482832,13376,454434
2020-10-13,484280,13396,456499
2020-10-14,485372,13415,458073
2020-10-15,486496,13434,459536
2020-10-16,488190,13529,461097
2020-10-17,490003,13588,462712
2020-10-18,491760,13635,463943
2020-10-19,493305,13676,465021
2020-10-20,494478,13702,466643
2020-10-21,495637,13719,467269
2020-10-22,497131,13792,469765
2020-10-23,498906,13844,471166
2020-10-24,500542,13892,476576
2020-10-25,502063,13944,478252
2020-10-26,503598,14003,479877
2020-10-27,504525,14026,481379
2020-10-28,505530,14032,482906
2020-10-29,507050,14118,483922
2020-10-30,508571,14158,485152
2020-10-31,510256,14207,486642
2020-11-01,511864,14247,488166
2020-11-02,513140,14302,489525
2020-11-03,514202,14319,490820
2020-11-04,515042,14340,492149
2020-11-05,516582,14404,493250
2020-11-06,518390,14450,494303
2020-11-07,519977,14499,495852
2020-11-08,521558,14543,497411
2020-11-09,522879,14588,498904
2020-11-10,523907,14611,500142
2020-11-11,524804,14633,501426
2020-11-12,526438,14699,502475
2020-11-13,528030,14738,503540
2020-11-14,529676,14777,505243
2020-11-15,531273,14819,506700
2020-11-16,532604,14863,508067
2020-11-17,533610,14883,509401
2020-11-18,534558,14897,510766
2020-11-19,536012,14955,511874
2020-11-20,537585,15003,512927
2020-11-21,539143,15030,514584
2020-11-22,540640,15069,516121
2020-11-23,542080,15106,517524
2020-11-24,543087,15131,518834
2020-11-25,544092,15138,520180
2020-11-26,545662,15235,521247
2020-11-27,547243,15278,522259
2020-11-28,548941,15322,523692
2020-11-29,550430,15356,525213
2020-11-30,551743,15410,526604
2020-12-01,552864,15430,528034
2020-12-02,553898,15438,529501
2020-12-03,555406,15519,530470
2020-12-04,557135,15558,531543
2020-12-05,558668,15592,533250
2020-12-06,560382,15628,534789
2020-12-07,562142,15663,536267
2020-12-08,563534,15680,537727
2020-12-09,564778,15690,539171
2020-12-10,566440,15774,540288
2020-12-11,567974,15782,541345
2020-12-12,569781,15846,543086
2020-12-13,571919,15886,544832
2020-12-14,573830,15931,546538
2020-12-15,575329,15949,548190
2020-12-16,576731,15959,549852
2020-12-17,578732,16007,551200
2020-12-18,581135,16051,552289
2020-12-19,583355,16101,554333
2020-12-20,585546,16154,555956
2020-12-21,587993,16197,557913
2020-12-22,589189,16217,559845
2020-12-23,590914,16228,561794
2020-12-24,594152,16303,563457
2020-12-25,595831,16358,565002
2020-12-26,598394,16404,567376
2020-12-27,600105,16443,569578
2020-12-28,602028,16443,571674
2020-12-29,603986,16488,573681
2020-12-30,606950,16499,575595
2020-12-31,608973,16608,577382
2021-01-01,612564,16660,579203
2021-01-02,615902,16724,581961
2021-01-03,618191,16767,584457
2021-01-04,620641,16767,586900
2021-01-05,623101,16788,588991
2021-01-06,625483,16816,591081
2021-01-07,629176,16913,593235
2021-01-08,633381,16974,595799
2021-01-09,637742,17037,599604
2021-01-10,641923,17096,602861
2021-01-11,645892,17162,606055
2021-01-12,649135,17182,608804
2021-01-13,652525,17204,611564
2021-01-14,656712,17294,614267
2021-01-15,661180,17369,617372
2021-01-16,665493,17435,622321
2021-01-17,669832,17477,626528
2021-01-18,673750,17547,630818
2021-01-19,677151,17573,634960
2021-01-20,680740,17594,639091
2021-01-21,685107,17702,642004
2021-01-22,690066,17786,645035
2021-01-23,694647,17854,649802
2021-01-24,699110,17933,654101
2021-01-25,703178,17999,658324
2021-01-26,706500,18023,662460
2021-01-27,709888,18040,666799
2021-01-28,714143,18174,670336
2021-01-29,718749,18257,673582
2021-01-30,722900,18339,677602
2021-01-31,727109,18452,681981
2021-02-01,730888,18537,686374
2021-02-02,734035,18559,690653
2021-02-03,736645,18576,694960
2021-02-04,740237,18731,698248
2021-02-05,744019,18808,701315
2021-02-06,748082,18895,706020
2021-02-07,751886,18974,710029
2021-02-08,755350,19056,713711
2021-02-09,758189,19084,717308
2021-02-10,760576,19105,720852
2021-02-11,764307,19262,723493
2021-02-12,768471,19345,725945
2021-02-13,772396,19443,730204
2021-02-14,776209,19541,733731
2021-02-15,779541,19624,737126
2021-02-16,782039,19644,740465
2021-02-17,784314,19659,743306
2021-02-18,788142,19798,746314
2021-02-19,791939,19897,748920
2021-02-20,795845,19974,753037
2021-02-21,799460,20042,756764
2021-02-22,803009,20126,760577
2021-02-23,805317,20151,763904
2021-02-24,807872,20173,767332
2021-02-25,812344,20310,770190
2021-02-26,816929,20400,772951
2021-02-27,821418,20476,776955
2021-02-28,824625,20572,780530
2021-03-01,829770,20660,784213
2021-03-02,832512,20684,787700
2021-03-03,835552,20704,790528
2021-03-04,840119,20838,793819
2021-03-05,845450,20928,796791
2021-03-06,850483,21008,801537
2021-03-07,855785,21077,805702
2021-03-08,860533,21163,809941
2021-03-09,864064,21182,814088
2021-03-10,867949,21206,818337
2021-03-11,873512,21362,821370
2021-03-12,879485,21451,825311
2021-03-13,885379,21574,830698
2021-03-14,891110,21674,835669
2021-03-15,896231,21772,840668
2021-03-16,900782,21789,845712
2021-03-17,904212,21816,851154
2021-03-18,911469,21988,854827
2021-03-19,918053,22087,859097
2021-03-20,925089,22180,865413
2021-03-21,931939,22279,871234
2021-03-22,938094,22359,877189
2021-03-23,942958,22384,882772
2021-03-24,947783,22402,888826
2021-03-25,954843,22524,892973
2021-03-26,962321,22587,897975
2021-03-27,969913,22653,905435
2021-03-28,977243,22754,912058
2021-03-29,984484,23070,918446
2021-03-30,989492,23107,924612
2021-03-31,995538,23135,931270
2021-04-01,1003406,23328,936721
2021-04-02,1011485,23421,942413
2021-04-03,1019478,23524,950889
2021-04-04,1026785,23644,958400
2021-04-05,1032612,23677,965641
2021-04-06,1037780,23734,965641
2021-04-07,1043022,23796,980245
2021-04-08,1051270,23979,986285
2021-04-09,1060421,24108,991676
2021-04-10,1068522,24213,998400
2021-04-11,1076499,24346,1005860
2021-04-12,1082920,24483,1012904
2021-04-13,1088710,24518,1020925
2021-04-14,1094267,24548,1026934
