Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2015-09-06,1.07,3272555.01,432770.76,1876392.91,348448.68,614942.66,468148.29,121209.44,25584.93,conventional,2015,GreatLakes
2016-02-21,1.31,10640.55,2285.14,5350.58,0.0,3004.83,389.62,2615.21,0.0,organic,2016,Detroit
2015-08-23,1.36,17429.71,11090.91,565.77,0.0,5773.03,5238.79,534.24,0.0,organic,2015,DallasFtWorth
2016-06-05,1.05,20914.8,9052.29,84.02,0.0,11778.49,9907.74,1870.75,0.0,organic,2016,Houston
2018-01-14,1.24,423919.68,190128.64,82399.03,3424.35,147967.66,105934.11,39865.79,2167.76,conventional,2018,SouthCarolina
2017-09-24,1.66,159412.07,74533.49,22831.21,82.19,61965.18,54501.62,7350.47,113.09,conventional,2017,Nashville
2016-01-03,1.5,38955.86,3092.05,15012.16,2689.51,18162.14,7903.68,10258.46,0.0,organic,2016,Plains
2017-01-08,1.74,8156.07,751.53,5747.86,0.0,1656.68,973.89,682.79,0.0,organic,2017,Detroit
2016-10-09,1.09,150647.8,54851.54,4379.24,0.0,91417.02,66104.4,25312.62,0.0,organic,2016,SouthCentral
2017-11-05,0.94,791515.45,381629.56,199062.24,8891.13,201932.52,62748.05,139154.47,30.0,conventional,2017,WestTexNewMexico
2016-05-29,1.35,22983.35,3737.94,16569.88,0.0,2675.53,695.76,1979.77,0.0,organic,2016,LasVegas
2015-02-22,1.26,70345.39,1496.07,42829.11,1187.76,24832.45,19166.04,5666.41,0.0,conventional,2015,Pittsburgh
2017-12-10,1.74,26314.71,14.46,1541.99,0.0,24758.26,19905.51,4852.75,0.0,organic,2017,Boston
2016-09-25,1.03,655426.45,101292.91,130310.43,3243.02,420580.09,304494.27,115510.78,575.04,conventional,2016,Seattle
2017-04-09,1.49,311220.15,189598.19,39854.26,48.95,81718.75,46129.68,35589.07,0.0,conventional,2017,Orlando
2018-01-28,1.18,432600.1,7854.32,360244.35,237.31,64264.12,60495.46,3601.99,166.67,conventional,2018,HartfordSpringfield
2017-06-18,1.09,281486.15,4452.82,110401.61,2143.52,164488.2,33465.46,130291.88,730.86,conventional,2017,CincinnatiDayton
2015-11-22,1.6,89062.36,14803.41,51282.8,0.0,22976.15,22516.44,459.71,0.0,organic,2015,California
2016-04-17,1.33,122388.94,2776.24,73943.65,12.53,45656.52,18674.26,26982.26,0.0,organic,2016,GreatLakes
2015-08-23,1.06,1731574.98,930286.05,498120.52,16041.72,287126.69,275002.9,10772.67,1351.12,conventional,2015,Plains
2017-04-23,1.39,3503236.08,1956787.44,445304.19,3585.35,1097559.1,726576.46,359238.87,11743.77,conventional,2017,Southeast
2018-02-25,1.13,277107.48,75032.02,85267.7,1914.32,114893.44,98624.54,15568.9,700.0,conventional,2018,RichmondNorfolk
2017-07-09,0.97,128455.05,26682.9,32986.26,119.07,68666.82,68576.38,46.14,44.3,conventional,2017,Spokane
2017-07-16,1.33,32455047.11,11155465.9,11202844.97,756103.12,9340633.12,6514899.46,2499385.51,326348.15,conventional,2017,TotalUS
2017-01-22,1.02,147163.14,28151.07,6856.25,0.0,112155.82,107713.44,4442.38,0.0,organic,2017,SouthCentral
2015-09-13,1.83,135524.9,39528.09,48060.97,51.1,47884.74,4197.01,43687.73,0.0,organic,2015,West
2015-08-09,1.0,272464.74,171948.43,10121.42,11932.03,78462.86,71332.39,7130.47,0.0,conventional,2015,NewOrleansMobile
2017-03-26,1.33,5073070.91,1693588.76,1542979.33,138133.01,1698369.81,1629800.46,1991.84,66577.51,conventional,2017,California
2016-05-01,0.75,7661483.37,2817406.2,2628579.48,291448.73,1924048.96,1421239.87,485685.06,17124.03,conventional,2016,California
2016-07-03,0.91,5432816.58,2549452.95,1175338.87,30343.48,1677681.28,1031656.46,559976.48,86048.34,conventional,2016,Southeast
2017-03-19,1.79,639050.82,185340.18,358216.27,6446.38,89047.99,87289.79,342.06,1416.14,conventional,2017,SanFrancisco
2016-05-15,1.22,474934.47,14393.49,313358.88,10279.83,136902.27,121275.31,15195.02,431.94,conventional,2016,Philadelphia
2015-01-25,1.34,27146.81,17038.27,9879.87,0.0,228.67,228.67,0.0,0.0,organic,2015,SanFrancisco
2015-02-01,1.55,1336.46,0.0,772.41,0.0,564.05,303.33,260.72,0.0,organic,2015,Louisville
2017-06-18,1.0,260893.43,108420.61,33689.09,143.44,118640.29,105965.4,10905.92,1768.97,conventional,2017,Nashville
2017-11-05,1.37,503544.6,119514.34,114867.45,6037.11,263125.7,222651.89,40236.49,237.32,conventional,2017,Seattle
2017-10-22,1.57,343882.42,130818.62,123575.63,17091.4,72396.77,68339.07,4057.7,0.0,conventional,2017,SanDiego
2015-02-15,1.48,67813.61,7426.1,34306.93,4067.67,22012.91,18624.73,3388.18,0.0,organic,2015,Midsouth
2015-03-29,1.55,28094.96,18872.86,9215.92,0.0,6.18,6.18,0.0,0.0,organic,2015,SanFrancisco
2016-06-26,1.04,30776.67,11200.61,580.49,0.0,18995.57,18776.65,218.92,0.0,organic,2016,DallasFtWorth
2015-04-12,0.79,1096074.97,631292.63,353794.42,3936.53,107051.39,97144.19,9907.2,0.0,conventional,2015,Houston
2016-03-27,1.83,8688.2,116.04,116.04,17.93,8438.19,7986.91,451.28,0.0,organic,2016,HarrisburgScranton
2017-07-30,1.49,9743.5,91.93,1707.14,0.0,7917.13,3929.12,3988.01,0.0,organic,2017,Indianapolis
2017-03-26,1.6,3838.3,233.24,0.0,0.0,3605.06,3380.0,225.06,0.0,organic,2017,NewOrleansMobile
2015-03-22,1.33,48180.98,2030.41,21884.43,43.48,24222.66,24222.66,0.0,0.0,conventional,2015,Syracuse
2016-09-25,1.8,553863.82,40600.81,337874.13,98808.73,76580.15,65665.7,744.44,10170.01,conventional,2016,Chicago
2017-10-22,1.15,4919102.69,2541201.97,796819.87,11499.33,1569581.52,1211443.25,357979.25,159.02,conventional,2017,SouthCentral
2017-04-16,1.54,166089.23,3103.77,70001.59,36.44,92947.43,87097.48,5849.95,0.0,conventional,2017,BuffaloRochester
2017-01-29,1.23,4472.77,255.33,8.07,0.0,4209.37,2085.56,2123.81,0.0,organic,2017,MiamiFtLauderdale
2017-05-21,1.36,252110.25,155348.21,27177.19,345.91,69238.94,46750.78,10833.16,11655.0,conventional,2017,NewOrleansMobile
2015-06-14,1.16,743005.75,194447.12,401133.25,17694.15,129731.23,79508.59,50222.64,0.0,conventional,2015,Denver
2016-04-10,1.31,5511.75,1520.71,56.5,0.0,3934.54,3934.54,0.0,0.0,organic,2016,Tampa
2017-12-31,1.61,9655.29,3891.4,3759.45,0.0,2004.44,2004.44,0.0,0.0,organic,2017,Sacramento
2017-06-25,1.17,25446.92,4521.58,3679.04,27.25,17219.05,3967.53,13251.52,0.0,organic,2017,Denver
2016-04-17,1.79,8785.44,201.05,205.18,12.85,8366.36,7950.19,416.17,0.0,organic,2016,HarrisburgScranton
2015-12-20,1.79,2078.74,1214.1,11.31,0.0,853.33,853.33,0.0,0.0,organic,2015,Tampa
2017-05-14,1.49,4101.47,803.09,5.34,0.0,3293.04,2743.0,550.04,0.0,organic,2017,Pittsburgh
2015-04-26,2.01,4447.09,1627.63,2751.73,0.0,67.73,0.0,67.73,0.0,organic,2015,Atlanta
2015-02-01,1.77,1427.11,760.33,74.32,0.0,592.46,585.38,7.08,0.0,organic,2015,Pittsburgh
2016-06-12,1.34,4358.39,183.1,1784.76,0.0,2390.53,1032.78,1357.75,0.0,organic,2016,Indianapolis
2016-06-26,1.18,860170.92,80280.37,499474.39,159812.33,120603.83,115880.76,457.23,4265.84,conventional,2016,Chicago
2017-07-30,2.14,10110.25,1825.73,3948.19,0.0,4336.33,4326.5,9.83,0.0,organic,2017,SanFrancisco
2017-01-01,1.18,283434.01,74754.07,125855.56,13633.95,69190.43,66525.85,2664.58,0.0,conventional,2017,RaleighGreensboro
2017-06-18,1.27,149975.22,38471.13,9716.75,0.0,101787.34,94445.95,7341.39,0.0,organic,2017,SouthCentral
2017-10-15,1.79,472074.73,324877.96,49047.42,32.0,98117.35,72027.82,26089.53,0.0,conventional,2017,MiamiFtLauderdale
2017-09-03,1.26,9273.64,124.6,825.16,0.0,8323.88,8305.42,18.46,0.0,organic,2017,GrandRapids
2016-06-05,1.43,1012717.93,152105.91,410451.71,7817.11,442343.2,310881.84,131461.36,0.0,organic,2016,TotalUS
2016-05-15,2.02,34788.28,4328.47,15961.11,2631.05,11867.65,11026.93,840.72,0.0,organic,2016,NewYork
2018-02-04,1.62,46956.84,313.29,32668.25,0.0,13975.3,13975.3,0.0,0.0,organic,2018,Chicago
2017-06-04,1.55,8901.94,1034.11,27.95,0.0,7839.88,7839.88,0.0,0.0,organic,2017,Pittsburgh
2016-06-19,1.2,882074.39,64899.84,550499.79,163027.81,103646.95,99766.0,1867.44,2013.51,conventional,2016,Chicago
2015-12-27,1.61,6834.42,1276.73,3370.14,0.0,2187.55,366.67,1820.88,0.0,organic,2015,Detroit
2018-02-18,1.58,29699.89,0.0,195.2,0.0,29504.69,29504.69,0.0,0.0,organic,2018,NorthernNewEngland
2017-03-12,1.7,3349.83,635.64,115.92,5.1,2593.17,345.56,2247.61,0.0,organic,2017,Jacksonville
2016-05-08,2.0,39638.67,3876.06,11969.29,2361.39,21431.93,20040.27,1391.66,0.0,organic,2016,NewYork
2017-12-17,1.44,628735.17,67126.05,369810.83,2933.76,188864.53,177981.17,10883.36,0.0,conventional,2017,BaltimoreWashington
2017-03-26,1.16,221214.93,2737.56,75138.64,1185.8,142152.93,30291.14,111860.25,1.54,conventional,2017,CincinnatiDayton
2015-09-06,1.95,5552.08,73.34,2705.46,821.09,1952.19,1931.19,21.0,0.0,organic,2015,RaleighGreensboro
2016-11-13,1.26,225721.51,133593.96,30401.95,102.91,61622.69,45125.04,15814.59,683.06,conventional,2016,NewOrleansMobile
2017-04-23,1.94,7206.63,3447.75,394.43,0.0,3364.45,3364.45,0.0,0.0,organic,2017,Orlando
2017-02-12,1.12,121268.68,34932.59,5509.9,2.91,80823.28,70954.77,9868.51,0.0,organic,2017,SouthCentral
2015-05-24,1.34,314930.61,4532.15,229800.24,177.56,80420.66,78505.66,1915.0,0.0,conventional,2015,HartfordSpringfield
2015-01-25,1.9,6757.39,0.0,593.56,0.0,6163.83,6163.83,0.0,0.0,organic,2015,NorthernNewEngland
2015-07-05,1.45,68922.42,797.75,35080.61,3980.63,29063.43,28845.65,217.78,0.0,conventional,2015,Syracuse
2017-01-15,1.27,277248.48,73384.69,111891.62,8946.58,83025.59,80590.42,2435.17,0.0,conventional,2017,RaleighGreensboro
2017-08-06,2.37,12981.7,1047.77,6973.51,0.0,4960.42,4960.42,0.0,0.0,organic,2017,SanDiego
2016-07-24,1.17,690893.4,128025.08,187555.04,19241.11,356072.17,135290.89,217563.22,3218.06,conventional,2016,Denver
2017-06-04,1.33,123557.37,51219.47,27379.67,1919.8,43038.43,34198.85,8279.86,559.72,conventional,2017,Pittsburgh
2015-07-19,0.82,1186878.88,684455.16,364124.15,4970.49,133329.08,115942.32,17379.41,7.35,conventional,2015,DallasFtWorth
2016-07-10,1.15,125690.61,21301.03,27011.26,9.53,77368.79,77225.89,142.9,0.0,organic,2016,LosAngeles
2015-10-18,1.91,29054.81,9310.61,7824.11,841.73,11078.36,9871.25,1207.11,0.0,organic,2015,Southeast
2015-08-09,1.12,354490.75,4619.78,292318.39,706.64,56845.94,55625.9,1220.04,0.0,conventional,2015,HartfordSpringfield
2018-02-25,1.42,18414.33,330.05,369.57,5.01,17709.7,17706.37,3.33,0.0,organic,2018,HarrisburgScranton
2017-08-27,1.79,455915.26,7262.03,319717.74,1534.57,127400.92,89674.49,36986.43,740.0,conventional,2017,Boston
2016-07-03,0.99,164583.69,42474.31,55215.66,153.08,66740.64,59666.75,1708.89,5365.0,conventional,2016,Roanoke
2016-06-19,1.42,112817.51,6766.63,85374.27,30.07,20646.54,18526.59,389.95,1730.0,conventional,2016,Albany
2017-07-02,1.44,627569.42,419259.34,76464.05,418.31,131427.72,49954.72,72199.67,9273.33,conventional,2017,MiamiFtLauderdale
2017-03-19,1.83,6478.95,251.2,4806.55,342.44,1078.76,102.5,976.26,0.0,organic,2017,RaleighGreensboro
2015-07-19,1.06,223479.02,3726.35,146965.54,14449.26,58337.87,21470.67,33782.97,3084.23,conventional,2015,CincinnatiDayton
2016-04-24,1.38,9858.95,2236.6,4002.17,0.0,3620.18,1418.66,2201.52,0.0,organic,2016,Atlanta
2017-04-23,1.49,225681.54,53508.78,103642.1,52.7,68477.96,61430.73,7047.23,0.0,conventional,2017,HarrisburgScranton
2015-04-05,1.38,50015.81,716.97,24675.99,20.46,24602.39,24340.17,262.22,0.0,conventional,2015,Syracuse
2015-11-01,1.64,9456.39,1478.71,7160.95,0.0,816.73,775.12,41.61,0.0,organic,2015,SanDiego
2015-02-22,1.4,75957.01,15459.67,35943.26,4053.24,20500.84,18497.02,2003.82,0.0,organic,2015,Midsouth
2015-08-30,1.8,10535.93,7278.82,1588.99,0.0,1668.12,1013.33,654.79,0.0,organic,2015,PhoenixTucson
2018-01-28,1.64,56920.22,2711.12,14479.56,0.0,39729.54,27818.91,11910.63,0.0,organic,2018,Plains
2017-05-07,1.48,19989.19,287.34,7274.84,0.0,12427.01,925.23,11501.78,0.0,organic,2017,CincinnatiDayton
2018-02-04,1.62,11900.41,384.29,4042.55,0.0,7473.57,5731.98,1741.59,0.0,organic,2018,Atlanta
2016-11-06,1.0,734433.2,334096.22,154480.91,16680.28,229175.79,103302.07,125873.72,0.0,conventional,2016,PhoenixTucson
2016-06-12,1.5,192533.95,24728.3,101839.43,3.07,65963.15,65924.0,39.15,0.0,organic,2016,California
2016-02-07,1.62,9462.0,7.59,1515.63,0.0,7938.78,7179.88,758.9,0.0,organic,2016,Boston
2016-07-17,1.85,179798.46,51709.18,80874.26,91.31,47123.71,23318.33,23805.38,0.0,organic,2016,West
2018-02-18,1.36,495083.69,107369.04,329956.5,956.38,56801.77,55583.56,1218.21,0.0,organic,2018,NewYork
2017-01-22,1.89,6015.68,1800.88,3930.91,0.0,283.89,283.89,0.0,0.0,organic,2017,Sacramento
2018-01-28,1.45,26854.2,10288.17,114.77,0.0,16451.26,16394.59,56.67,0.0,organic,2018,Houston
2016-09-11,1.5,140233.78,2524.78,45647.58,2429.03,89632.39,55646.68,33985.71,0.0,organic,2016,Midsouth
2017-04-16,1.8,257405.41,6808.85,189287.26,128.05,61181.25,56049.22,5132.03,0.0,conventional,2017,HartfordSpringfield
2017-06-04,1.1,196391.15,82888.11,20624.08,1780.61,91098.35,85697.33,5341.79,59.23,conventional,2017,Columbus
2017-10-22,1.1,1037930.19,525021.72,186939.29,2275.11,323694.07,252684.38,70932.42,77.27,conventional,2017,DallasFtWorth
2015-01-25,1.37,44517.84,810.15,22526.2,36.39,21145.1,20725.1,420.0,0.0,conventional,2015,Syracuse
2016-11-20,1.06,4150510.67,2351202.94,871661.63,16553.22,911092.88,735263.86,173417.7,2411.32,conventional,2016,SouthCentral
2017-02-12,0.87,41077470.65,15051951.54,12184188.37,862322.15,12979008.59,9922489.84,2919324.45,137194.3,conventional,2017,TotalUS
2017-10-08,2.19,86753.64,2689.21,30568.23,19624.56,33871.64,25625.39,2275.59,5970.66,conventional,2017,GrandRapids
2016-08-07,1.12,188016.6,95351.73,25466.1,161.34,67037.43,46061.04,20976.39,0.0,conventional,2016,Nashville
2015-07-19,1.96,8067.82,20.58,1104.69,0.0,6942.55,6942.55,0.0,0.0,organic,2015,NorthernNewEngland
2017-09-24,1.22,584045.7,363596.75,99990.28,415.7,120042.97,68799.49,51236.81,6.67,conventional,2017,WestTexNewMexico
2016-05-15,1.61,28745.81,1973.0,24271.37,3.34,2498.1,96.67,2401.43,0.0,organic,2016,Portland
2018-02-04,1.83,28934.01,9.14,2504.27,3.66,26416.94,20660.94,5756.0,0.0,organic,2018,Boston
2017-12-31,0.95,649352.59,341061.46,41818.27,961.18,265511.68,173990.02,88882.27,2639.39,conventional,2017,Atlanta
2017-05-21,1.02,356922.23,117366.67,63083.52,8122.78,168349.26,48461.64,119887.62,0.0,conventional,2017,LasVegas
2017-04-16,1.59,85609.54,5166.93,24157.5,1783.22,54501.89,29033.98,25467.91,0.0,organic,2017,Plains
2015-01-11,1.83,1410.31,95.46,921.79,0.0,393.06,357.75,35.31,0.0,organic,2015,Indianapolis
2018-03-18,1.66,35542.17,184.53,26955.74,0.0,8401.9,8398.57,3.33,0.0,organic,2018,Chicago
2015-10-04,2.25,15454.59,1978.71,11877.16,47.48,1551.24,428.68,1122.56,0.0,organic,2015,NewYork
2016-08-21,1.4,4127080.33,247658.58,2351280.09,25740.08,1502401.58,1384984.59,97632.72,19784.27,conventional,2016,Northeast
2015-06-21,1.24,543504.66,3582.45,404908.53,8899.2,126114.48,125821.15,293.33,0.0,conventional,2015,Boston
2018-01-21,1.8,25108.84,3170.73,3086.95,10.07,18841.09,1279.19,17489.16,72.74,organic,2018,Portland
2015-06-14,0.92,6760001.68,3239258.39,2416002.43,112965.22,991775.64,776961.13,214729.56,84.95,conventional,2015,West
2017-06-25,0.96,803349.86,162934.76,169403.8,19050.31,451960.99,450916.88,634.51,409.6,conventional,2017,Portland
2016-02-21,1.49,4856.96,753.3,2433.22,0.0,1670.44,1363.33,307.11,0.0,organic,2016,Nashville
2015-11-22,1.12,57410.08,1279.51,21670.78,0.0,34459.79,81.41,34378.38,0.0,organic,2015,Portland
2018-02-18,0.68,1572064.61,931553.8,160780.41,4045.42,475684.98,372117.42,103276.45,291.11,conventional,2018,Houston
2015-03-29,1.12,74999.31,36451.47,26800.47,2051.36,9696.01,9376.01,320.0,0.0,conventional,2015,Spokane
2015-01-11,1.2,99757.17,57635.74,17025.48,529.41,24566.54,14862.7,9703.84,0.0,conventional,2015,Jacksonville
2017-05-21,1.35,5599003.03,2077113.57,1627754.26,137755.31,1756379.89,1685046.63,3942.61,67390.65,conventional,2017,California
2015-06-07,1.25,6725.04,316.05,3217.52,0.0,3191.47,498.8,2692.67,0.0,organic,2015,Nashville
2017-01-22,0.98,532733.04,166864.88,321763.18,2248.57,41856.41,41368.62,487.79,0.0,conventional,2017,Sacramento
2018-01-14,1.81,2130.13,51.93,802.89,0.0,1275.31,350.29,925.02,0.0,organic,2018,Boise
2016-04-03,1.27,10988.01,597.82,6688.79,0.0,3701.4,760.0,2941.4,0.0,organic,2016,Detroit
2017-08-27,1.73,13886.69,234.25,194.66,7.64,13450.14,13450.14,0.0,0.0,organic,2017,HarrisburgScranton
2017-10-15,1.81,182274.57,6137.38,59691.71,574.34,115871.14,21562.09,94257.73,51.32,conventional,2017,CincinnatiDayton
2015-11-22,1.39,9576.59,587.25,6336.98,460.05,2192.31,602.03,1590.28,0.0,organic,2015,BaltimoreWashington
2016-07-24,1.54,3834290.51,220814.35,2172523.13,63713.79,1377239.24,1287855.02,36043.62,53340.6,conventional,2016,Northeast
2015-11-29,0.97,58667.71,1290.11,34019.62,2342.95,21015.03,10740.29,9710.74,564.0,conventional,2015,Louisville
2017-02-26,0.83,540315.74,133389.93,105832.88,79598.84,221494.09,186675.1,3009.89,31809.1,conventional,2017,Detroit
2016-11-06,1.63,57178.2,3212.04,43024.32,36.4,10905.44,10474.09,431.35,0.0,conventional,2016,Albany
2015-06-14,1.13,277578.88,42766.16,140403.76,2028.31,92380.65,87952.58,2821.41,1606.66,conventional,2015,HarrisburgScranton
2017-10-01,1.75,107773.96,31572.3,2854.98,0.0,73346.68,72854.87,491.81,0.0,organic,2017,SouthCentral
2017-04-16,1.33,116011.18,44551.19,23042.87,1422.88,46994.24,40217.19,6777.05,0.0,conventional,2017,Pittsburgh
2016-11-20,1.36,117495.72,35506.8,19385.22,192.2,62411.5,22359.45,40052.05,0.0,conventional,2016,Jacksonville
2016-06-12,1.04,2104834.28,892690.24,628986.82,11290.7,571866.52,518050.97,28877.41,24938.14,conventional,2016,Plains
2016-06-05,1.18,471356.84,32955.43,314403.14,35125.4,88872.87,86447.87,0.0,2425.0,conventional,2016,NorthernNewEngland
2016-05-08,0.57,1489269.33,941813.03,325967.66,29263.46,192225.18,80064.68,109498.0,2662.5,conventional,2016,PhoenixTucson
2018-03-18,0.98,198246.71,73389.94,22422.63,2599.53,99834.61,36169.0,63248.94,416.67,conventional,2018,Pittsburgh
2016-05-29,0.8,245482.03,71157.19,9858.5,210.8,164255.54,150822.59,13401.63,31.32,conventional,2016,StLouis
2018-03-11,1.23,52514.65,1549.8,20242.92,0.0,30687.37,27074.68,3612.69,0.0,organic,2018,Detroit
2016-06-19,1.42,104127.89,2063.55,59252.92,1172.76,41638.66,27767.25,12371.41,1500.0,conventional,2016,Pittsburgh
2015-04-26,1.11,235546.11,76765.23,97538.87,11133.44,50108.57,49595.75,390.6,122.22,conventional,2015,RichmondNorfolk
2015-07-05,2.24,9519.72,1816.12,6858.33,123.46,721.81,721.81,0.0,0.0,organic,2015,NewYork
2015-02-15,1.81,10575.65,948.53,8233.79,0.0,1393.33,1393.33,0.0,0.0,organic,2015,Chicago
2015-12-13,1.05,454428.03,114813.13,156347.74,9650.5,173616.66,173537.66,35.61,43.39,conventional,2015,Seattle
2017-05-28,1.15,165711.15,42689.34,46416.68,107.29,76497.84,62798.96,13638.09,60.79,conventional,2017,Roanoke
2016-10-30,1.01,128966.42,51881.76,6010.11,59.48,71015.07,45591.77,25423.3,0.0,conventional,2016,StLouis
2017-05-14,1.59,5693.95,229.87,1400.1,0.0,4063.98,1150.0,2913.98,0.0,organic,2017,StLouis
2017-03-12,1.38,1337596.89,152896.45,330081.75,3188.52,851430.17,491035.95,360394.22,0.0,organic,2017,TotalUS
2015-05-31,1.43,1493218.75,24958.8,1077663.26,1368.92,389227.77,322139.9,67077.51,10.36,conventional,2015,NewYork
2015-12-06,0.92,145740.44,4067.0,89452.99,13570.12,38650.33,19365.92,17733.68,1550.73,conventional,2015,Indianapolis
2015-04-19,1.69,4029.03,1570.21,2153.19,0.0,305.63,0.0,305.63,0.0,organic,2015,Spokane
2017-12-10,1.59,5477.32,19.21,1730.07,0.0,3728.04,2376.7,1351.34,0.0,organic,2017,Nashville
2015-04-05,1.8,9073.21,2827.97,3353.79,0.0,2891.45,2619.58,271.87,0.0,organic,2015,WestTexNewMexico
2016-01-24,1.37,6554.54,572.06,3389.83,0.0,2592.65,1536.67,1055.98,0.0,organic,2016,Nashville
2016-05-08,0.95,432737.31,213997.13,80588.36,259.09,137892.73,60411.28,77481.45,0.0,conventional,2016,Orlando
2016-01-03,1.44,28250.84,2016.38,10072.33,6.69,16155.44,133.87,16021.57,0.0,organic,2016,Portland
2018-03-18,1.01,216897.74,62775.9,15964.09,2293.97,135863.78,95448.1,39893.13,522.55,conventional,2018,Columbus
2016-01-31,1.0,2881461.41,555939.0,1608441.06,133521.63,583559.72,496721.51,84565.77,2272.44,conventional,2016,Midsouth
2016-08-28,1.38,812410.86,258578.88,469333.14,13522.19,70976.65,68675.23,990.31,1311.11,conventional,2016,SanFrancisco
2015-06-21,1.05,135895.47,51621.94,47601.83,73.18,36598.52,36598.52,0.0,0.0,conventional,2015,Roanoke
2018-01-14,1.16,322932.06,79986.22,96281.04,7841.07,138823.73,71330.43,67126.63,366.67,conventional,2018,LasVegas
2015-08-02,1.7,5802.91,123.65,4829.21,0.0,850.05,333.33,516.72,0.0,organic,2015,Roanoke
2017-02-19,1.88,11527.69,2.6,221.4,0.0,11303.69,11303.69,0.0,0.0,organic,2017,NorthernNewEngland
2016-10-02,1.19,5652496.31,2359102.44,1664176.22,121961.08,1507256.57,1420423.91,58294.32,28538.34,conventional,2016,California
2017-12-10,1.07,3370521.81,728666.15,1219626.41,17891.07,1404338.18,1229379.23,172927.24,2031.71,conventional,2017,Midsouth
